product_id,product_name,category,brand,cost_price,list_price,status,_ingestion_timestamp
PROD001,NovaBite Classic Crisps 150g,Snacks,NovaBite,0.42,1.09,ACTIVE,2026-05-05T00:00:29.871471
PROD002,NovaBite BBQ Crisps 150g,Snacks,NovaBite,0.44,1.09,ACTIVE,2026-05-05T00:00:29.871474
PROD003,NovaBite Mixed Nuts 200g,Snacks,NovaBite,0.88,2.29,ACTIVE,2026-05-05T00:00:29.871475
PROD004,FreshFields Chicken Tikka 400g,Chilled,FreshFields,1.45,3.99,ACTIVE,2026-05-05T00:00:29.871477
PROD005,FreshFields Lasagne 400g,Chilled,FreshFields,1.22,3.49,ACTIVE,2026-05-05T00:00:29.871478
PROD006,FreshFields Thai Green Curry 400g,Chilled,FreshFields,1.52,4.29,ACTIVE,2026-05-05T00:00:29.871479
PROD007,GreenLeaf Pasta Penne 500g,Ambient,GreenLeaf,0.38,0.99,ACTIVE,2026-05-05T00:00:29.871481
PROD008,GreenLeaf Tomato Sauce 500g,Ambient,GreenLeaf,0.52,1.49,ACTIVE,2026-05-05T00:00:29.871482
PROD009,GreenLeaf Olive Oil 500ml,Ambient,GreenLeaf,1.85,4.99,ACTIVE,2026-05-05T00:00:29.871483
PROD010,FrostBite Peas 900g,Frozen,FrostBite,0.55,1.49,ACTIVE,2026-05-05T00:00:29.871484
PROD011,FrostBite Mixed Veg 900g,Frozen,FrostBite,0.58,1.49,ACTIVE,2026-05-05T00:00:29.871485
PROD012,FrostBite Fish Fingers 600g,Frozen,FrostBite,1.82,4.49,ACTIVE,2026-05-05T00:00:29.871487
PROD013,MorningRise Orange Juice 1L,Beverages,MorningRise,0.62,1.89,ACTIVE,2026-05-05T00:00:29.871488
PROD014,CreamTop Cheddar Cheese 400g,Dairy,CreamTop,1.65,4.29,ACTIVE,2026-05-05T00:00:29.871489
PROD015,CreamTop Semi-Skimmed Milk 2L,Dairy,CreamTop,0.72,1.45,ACTIVE,2026-05-05T00:00:29.871490
